group,category,"report begin date","report end date","published date","market location name","market location city","market location state",commodity,"market type","market type category","slug id","slug name","report title","final ind",community,region,"sale Type",application,freight,quality,grade,"other Grades","price Unit","lot Desc",organic,origin,package,"volume Unit","price min","price max","mostly low price","mostly high price","report narrative","commodity narrative","secondary source info",methodology
Reggianito,"Hard Products",12/28/2020,12/28/2020,"01/06/2021 13:26:19",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1092,MD_DA811,"Cheese - Foreign Type",Final,Dairy,"New York",Wholesale,Import,"Free on Board - Distributor's Dock",N/A,N/A,N/A,"Dollars per Pound",,N/A,Argentina,N/A,"Mixed Lots (1000-5000 pounds)",3.29,4.78,,,N/A,"This last week of 2020, shortened by holidays, has typically calm seasonal cheese markets. In Western Europe COVID-19 restrictions have increased in many countries. Lower food service demand has been experienced and is expected to continue in coming weeks. Even without that factor, this is typically a week with few cheese sellers in their offices. Current contracting activity is very elusive to identify. Few manufacturers, buyers or sellers are expected to become more engaged until the new year begins.

United States domestic cheese prices decreased $0.0150 for blue, gorgonzola, parmesan and romano. All other prices are steady.","EU cheese exports January – October 2020, 753,393 MT, increased 8 percent from January – October 2019 according the European Commission. The top destinations for EU cheese exports and percentage change January - October 2020 compared with January – October 2019 are Japan, 108,331 MT, +13 percent, the United States, 96,517 MT, -15 percent; and Switzerland, 58,162 MT, +12  percent.","Information for the period December 28, 2020 -  January 1, 2021, issued weekly"
"Sardo Romano","Hard Products",12/28/2020,12/28/2020,"01/06/2021 13:26:19",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1092,MD_DA811,"Cheese - Foreign Type",Final,Dairy,"New York",Wholesale,Import,"Free on Board - Distributor's Dock",N/A,N/A,N/A,"Dollars per Pound",,N/A,Argentina,N/A,"Mixed Lots (1000-5000 pounds)",2.85,4.78,,,N/A,"This last week of 2020, shortened by holidays, has typically calm seasonal cheese markets. In Western Europe COVID-19 restrictions have increased in many countries. Lower food service demand has been experienced and is expected to continue in coming weeks. Even without that factor, this is typically a week with few cheese sellers in their offices. Current contracting activity is very elusive to identify. Few manufacturers, buyers or sellers are expected to become more engaged until the new year begins.

United States domestic cheese prices decreased $0.0150 for blue, gorgonzola, parmesan and romano. All other prices are steady.","EU cheese exports January – October 2020, 753,393 MT, increased 8 percent from January – October 2019 according the European Commission. The top destinations for EU cheese exports and percentage change January - October 2020 compared with January – October 2019 are Japan, 108,331 MT, +13 percent, the United States, 96,517 MT, -15 percent; and Switzerland, 58,162 MT, +12  percent.","Information for the period December 28, 2020 -  January 1, 2021, issued weekly"
Swiss,"Hard Products",12/28/2020,12/28/2020,"01/06/2021 13:26:19",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1092,MD_DA811,"Cheese - Foreign Type",Final,Dairy,"New York",Wholesale,Import,"Free on Board - Distributor's Dock",N/A,N/A,N/A,"Dollars per Pound",,N/A,Finland,N/A,"Mixed Lots (1000-5000 pounds)",2.67,2.93,,,N/A,"This last week of 2020, shortened by holidays, has typically calm seasonal cheese markets. In Western Europe COVID-19 restrictions have increased in many countries. Lower food service demand has been experienced and is expected to continue in coming weeks. Even without that factor, this is typically a week with few cheese sellers in their offices. Current contracting activity is very elusive to identify. Few manufacturers, buyers or sellers are expected to become more engaged until the new year begins.

United States domestic cheese prices decreased $0.0150 for blue, gorgonzola, parmesan and romano. All other prices are steady.","EU cheese exports January – October 2020, 753,393 MT, increased 8 percent from January – October 2019 according the European Commission. The top destinations for EU cheese exports and percentage change January - October 2020 compared with January – October 2019 are Japan, 108,331 MT, +13 percent, the United States, 96,517 MT, -15 percent; and Switzerland, 58,162 MT, +12  percent.","Information for the period December 28, 2020 -  January 1, 2021, issued weekly"
Blue,"Hard Products",12/28/2020,12/28/2020,"01/06/2021 13:26:19",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1092,MD_DA811,"Cheese - Foreign Type",Final,Dairy,"New York",Wholesale,Domestic,"Free on Board - Distributor's Dock",N/A,N/A,N/A,"Dollars per Pound",,N/A,NA,N/A,"Mixed Lots (1000-5000 pounds)",2.085,3.5725,,,N/A,"This last week of 2020, shortened by holidays, has typically calm seasonal cheese markets. In Western Europe COVID-19 restrictions have increased in many countries. Lower food service demand has been experienced and is expected to continue in coming weeks. Even without that factor, this is typically a week with few cheese sellers in their offices. Current contracting activity is very elusive to identify. Few manufacturers, buyers or sellers are expected to become more engaged until the new year begins.

United States domestic cheese prices decreased $0.0150 for blue, gorgonzola, parmesan and romano. All other prices are steady.","EU cheese exports January – October 2020, 753,393 MT, increased 8 percent from January – October 2019 according the European Commission. The top destinations for EU cheese exports and percentage change January - October 2020 compared with January – October 2019 are Japan, 108,331 MT, +13 percent, the United States, 96,517 MT, -15 percent; and Switzerland, 58,162 MT, +12  percent.","Information for the period December 28, 2020 -  January 1, 2021, issued weekly"
Blue,"Hard Products",12/28/2020,12/28/2020,"01/06/2021 13:26:19",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1092,MD_DA811,"Cheese - Foreign Type",Final,Dairy,"New York",Wholesale,Import,"Free on Board - Distributor's Dock",N/A,N/A,N/A,"Dollars per Pound",,N/A,NA,N/A,"Mixed Lots (1000-5000 pounds)",2.64,5.23,,,N/A,"This last week of 2020, shortened by holidays, has typically calm seasonal cheese markets. In Western Europe COVID-19 restrictions have increased in many countries. Lower food service demand has been experienced and is expected to continue in coming weeks. Even without that factor, this is typically a week with few cheese sellers in their offices. Current contracting activity is very elusive to identify. Few manufacturers, buyers or sellers are expected to become more engaged until the new year begins.

United States domestic cheese prices decreased $0.0150 for blue, gorgonzola, parmesan and romano. All other prices are steady.","EU cheese exports January – October 2020, 753,393 MT, increased 8 percent from January – October 2019 according the European Commission. The top destinations for EU cheese exports and percentage change January - October 2020 compared with January – October 2019 are Japan, 108,331 MT, +13 percent, the United States, 96,517 MT, -15 percent; and Switzerland, 58,162 MT, +12  percent.","Information for the period December 28, 2020 -  January 1, 2021, issued weekly"
Gorgonzola,"Hard Products",12/28/2020,12/28/2020,"01/06/2021 13:26:19",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1092,MD_DA811,"Cheese - Foreign Type",Final,Dairy,"New York",Wholesale,Domestic,"Free on Board - Distributor's Dock",N/A,N/A,N/A,"Dollars per Pound",,N/A,NA,N/A,"Mixed Lots (1000-5000 pounds)",2.5925,3.31,,,N/A,"This last week of 2020, shortened by holidays, has typically calm seasonal cheese markets. In Western Europe COVID-19 restrictions have increased in many countries. Lower food service demand has been experienced and is expected to continue in coming weeks. Even without that factor, this is typically a week with few cheese sellers in their offices. Current contracting activity is very elusive to identify. Few manufacturers, buyers or sellers are expected to become more engaged until the new year begins.

United States domestic cheese prices decreased $0.0150 for blue, gorgonzola, parmesan and romano. All other prices are steady.","EU cheese exports January – October 2020, 753,393 MT, increased 8 percent from January – October 2019 according the European Commission. The top destinations for EU cheese exports and percentage change January - October 2020 compared with January – October 2019 are Japan, 108,331 MT, +13 percent, the United States, 96,517 MT, -15 percent; and Switzerland, 58,162 MT, +12  percent.","Information for the period December 28, 2020 -  January 1, 2021, issued weekly"
Gorgonzola,"Hard Products",12/28/2020,12/28/2020,"01/06/2021 13:26:19",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1092,MD_DA811,"Cheese - Foreign Type",Final,Dairy,"New York",Wholesale,Import,"Free on Board - Distributor's Dock",N/A,N/A,N/A,"Dollars per Pound",,N/A,NA,N/A,"Mixed Lots (1000-5000 pounds)",3.69,5.74,,,N/A,"This last week of 2020, shortened by holidays, has typically calm seasonal cheese markets. In Western Europe COVID-19 restrictions have increased in many countries. Lower food service demand has been experienced and is expected to continue in coming weeks. Even without that factor, this is typically a week with few cheese sellers in their offices. Current contracting activity is very elusive to identify. Few manufacturers, buyers or sellers are expected to become more engaged until the new year begins.

United States domestic cheese prices decreased $0.0150 for blue, gorgonzola, parmesan and romano. All other prices are steady.","EU cheese exports January – October 2020, 753,393 MT, increased 8 percent from January – October 2019 according the European Commission. The top destinations for EU cheese exports and percentage change January - October 2020 compared with January – October 2019 are Japan, 108,331 MT, +13 percent, the United States, 96,517 MT, -15 percent; and Switzerland, 58,162 MT, +12  percent.","Information for the period December 28, 2020 -  January 1, 2021, issued weekly"
Jarlsberg,"Hard Products",12/28/2020,12/28/2020,"01/06/2021 13:26:19",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1092,MD_DA811,"Cheese - Foreign Type",Final,Dairy,"New York",Wholesale,Import,"Free on Board - Distributor's Dock",N/A,N/A,N/A,"Dollars per Pound",,N/A,NA,N/A,"Mixed Lots (1000-5000 pounds)",2.95,6.45,,,N/A,"This last week of 2020, shortened by holidays, has typically calm seasonal cheese markets. In Western Europe COVID-19 restrictions have increased in many countries. Lower food service demand has been experienced and is expected to continue in coming weeks. Even without that factor, this is typically a week with few cheese sellers in their offices. Current contracting activity is very elusive to identify. Few manufacturers, buyers or sellers are expected to become more engaged until the new year begins.

United States domestic cheese prices decreased $0.0150 for blue, gorgonzola, parmesan and romano. All other prices are steady.","EU cheese exports January – October 2020, 753,393 MT, increased 8 percent from January – October 2019 according the European Commission. The top destinations for EU cheese exports and percentage change January - October 2020 compared with January – October 2019 are Japan, 108,331 MT, +13 percent, the United States, 96,517 MT, -15 percent; and Switzerland, 58,162 MT, +12  percent.","Information for the period December 28, 2020 -  January 1, 2021, issued weekly"
Parmesan,"Hard Products",12/28/2020,12/28/2020,"01/06/2021 13:26:19",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1092,MD_DA811,"Cheese - Foreign Type",Final,Dairy,"New York",Wholesale,Domestic,"Free on Board - Distributor's Dock",N/A,N/A,N/A,"Dollars per Pound",,N/A,NA,N/A,"Mixed Lots (1000-5000 pounds)",3.4725,5.5625,,,N/A,"This last week of 2020, shortened by holidays, has typically calm seasonal cheese markets. In Western Europe COVID-19 restrictions have increased in many countries. Lower food service demand has been experienced and is expected to continue in coming weeks. Even without that factor, this is typically a week with few cheese sellers in their offices. Current contracting activity is very elusive to identify. Few manufacturers, buyers or sellers are expected to become more engaged until the new year begins.

United States domestic cheese prices decreased $0.0150 for blue, gorgonzola, parmesan and romano. All other prices are steady.","EU cheese exports January – October 2020, 753,393 MT, increased 8 percent from January – October 2019 according the European Commission. The top destinations for EU cheese exports and percentage change January - October 2020 compared with January – October 2019 are Japan, 108,331 MT, +13 percent, the United States, 96,517 MT, -15 percent; and Switzerland, 58,162 MT, +12  percent.","Information for the period December 28, 2020 -  January 1, 2021, issued weekly"
Romano,"Hard Products",12/28/2020,12/28/2020,"01/06/2021 13:26:19",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1092,MD_DA811,"Cheese - Foreign Type",Final,Dairy,"New York",Wholesale,Domestic,"Free on Board - Distributor's Dock",N/A,N/A,N/A,"Dollars per Pound",,N/A,NA,N/A,"Mixed Lots (1000-5000 pounds)",3.275,5.43,,,N/A,"This last week of 2020, shortened by holidays, has typically calm seasonal cheese markets. In Western Europe COVID-19 restrictions have increased in many countries. Lower food service demand has been experienced and is expected to continue in coming weeks. Even without that factor, this is typically a week with few cheese sellers in their offices. Current contracting activity is very elusive to identify. Few manufacturers, buyers or sellers are expected to become more engaged until the new year begins.

United States domestic cheese prices decreased $0.0150 for blue, gorgonzola, parmesan and romano. All other prices are steady.","EU cheese exports January – October 2020, 753,393 MT, increased 8 percent from January – October 2019 according the European Commission. The top destinations for EU cheese exports and percentage change January - October 2020 compared with January – October 2019 are Japan, 108,331 MT, +13 percent, the United States, 96,517 MT, -15 percent; and Switzerland, 58,162 MT, +12  percent.","Information for the period December 28, 2020 -  January 1, 2021, issued weekly"
